File,Key
classical.00079.wav,A#
classical.00045.wav,E
classical.00051.wav,D
classical.00086.wav,D#
classical.00092.wav,B
classical.00093.wav,F
classical.00087.wav,D
classical.00050.wav,C#
classical.00044.wav,D#
classical.00078.wav,D#
classical.00052.wav,A#
classical.00046.wav,D
classical.00091.wav,E
classical.00085.wav,D
classical.00084.wav,G
classical.00090.wav,G#
classical.00047.wav,E
classical.00053.wav,G
classical.00057.wav,C
classical.00043.wav,A#
classical.00094.wav,D
classical.00080.wav,B
classical.00081.wav,D
classical.00095.wav,D
classical.00042.wav,E
classical.00056.wav,G
classical.00040.wav,F#
classical.00054.wav,C
classical.00068.wav,F
classical.00083.wav,C
classical.00097.wav,A
classical.00096.wav,D
classical.00082.wav,G
classical.00069.wav,F
classical.00055.wav,A
classical.00041.wav,E
classical.00026.wav,G
classical.00032.wav,C#
classical.00033.wav,G#
classical.00027.wav,C
classical.00019.wav,D#
classical.00031.wav,G
classical.00025.wav,G
classical.00024.wav,D
classical.00030.wav,G
classical.00018.wav,A#
classical.00034.wav,G
classical.00020.wav,A#
classical.00008.wav,C
classical.00009.wav,D
classical.00021.wav,F
classical.00035.wav,G#
classical.00023.wav,D#
classical.00037.wav,A
classical.00036.wav,C#
classical.00022.wav,F
classical.00007.wav,D#
classical.00013.wav,G
classical.00012.wav,C
classical.00006.wav,C
classical.00038.wav,D
classical.00010.wav,A#
classical.00004.wav,C
classical.00005.wav,G
classical.00011.wav,C
classical.00039.wav,A#
classical.00015.wav,E
classical.00001.wav,B
classical.00029.wav,D
classical.00028.wav,G
classical.00000.wav,D
classical.00014.wav,D
classical.00002.wav,D
classical.00016.wav,D
classical.00017.wav,E
classical.00003.wav,D
classical.00058.wav,G
classical.00064.wav,G#
classical.00070.wav,A
classical.00071.wav,C
classical.00065.wav,D
classical.00059.wav,A
classical.00073.wav,F
classical.00067.wav,G
classical.00098.wav,F
classical.00099.wav,G
classical.00066.wav,C
classical.00072.wav,F
classical.00076.wav,G
classical.00062.wav,F
classical.00089.wav,B
classical.00088.wav,G#
classical.00063.wav,F
classical.00077.wav,D#
classical.00061.wav,C
classical.00075.wav,C
classical.00049.wav,C
classical.00048.wav,D#
classical.00074.wav,F
classical.00060.wav,C
